Keyword Text,Competition,Competition Index,Search Volume,Low Top Page Bid,High Top Page Bid
warby parker warby parker,HIGH,100,823000,0.12,2.91
warby parker parker,HIGH,100,823000,0.12,2.91
pair eyewear,HIGH,100,246000,0.20,2.24
eyewear pair,HIGH,100,246000,0.20,2.24
pair of eyewear,HIGH,100,246000,0.20,2.24
prescription glasses,HIGH,100,165000,2.47,9.10
warby parker near me,MEDIUM,60,135000,0.06,2.17
eyewear glasses,HIGH,100,110000,2.38,7.05
eye glasses,HIGH,100,110000,2.38,7.05
eyesight glasses,HIGH,100,110000,2.38,7.05
eyeglass glasses,HIGH,100,110000,2.38,7.05
eyeye glasses,HIGH,100,110000,2.38,7.05
warby parker glasses,HIGH,100,60500,0.08,2.30
warby and parker glasses,HIGH,100,60500,0.08,2.30
warby and parker eyeglasses,HIGH,100,60500,0.08,2.30
mens glasses,HIGH,100,33100,1.14,3.84
men's glasses,HIGH,100,33100,1.14,3.84
men eyeglasses,HIGH,100,33100,1.14,3.84
eyewear glasses for men,HIGH,100,33100,1.14,3.84
eye glasses on men,HIGH,100,33100,1.14,3.84
glasses formen,HIGH,100,33100,1.14,3.84
cheap glasses,HIGH,100,27100,1.92,6.95
eyeglass frames,HIGH,100,27100,0.73,3.18
cheap prescription glasses,HIGH,95,27100,1.86,6.89
kids eyeglasses,HIGH,100,27100,2.05,7.39
kids glasses,HIGH,100,27100,2.05,7.39
affordable prescription eyeglasses,HIGH,95,27100,1.86,6.89
glasses shop,HIGH,100,22200,1.91,13.58
womens glasses,HIGH,100,22200,1.08,3.92
eyeglasses shop,HIGH,100,22200,1.91,13.58
eye prescription,LOW,33,22200,1.44,5.77
shop for glasses,HIGH,100,22200,1.91,13.58
cheap eyeglass exam near me,LOW,30,22200,2.24,9.30
women and glasses,HIGH,100,22200,1.08,3.92
eye wear,HIGH,100,18100,1.90,6.50
designer glasses,HIGH,100,18100,0.72,3.22
designer eyeglass frames,HIGH,100,18100,0.56,2.51
stylish glasses for men,HIGH,98,18100,0.63,2.32
men's designer eyeglass frames,HIGH,93,18100,0.56,2.44
men designer eyeglasses,HIGH,93,18100,0.56,2.44
fashionable men's glasses,HIGH,98,18100,0.63,2.32
fashionable men's eyeglasses,HIGH,98,18100,0.63,2.32
designer glasses men's,HIGH,93,18100,0.56,2.44
designer glasses and frames,HIGH,100,18100,0.56,2.51
glasses for style men,HIGH,98,18100,0.63,2.32
warby parker sunglasses,HIGH,100,14800,0.05,2.11
glasses store,HIGH,72,14800,1.61,6.03
affordable prescription sunglasses,HIGH,100,14800,2.15,8.25
sunglasses affordable,HIGH,100,14800,1.11,3.97
eyeglass centers,LOW,18,14800,2.36,9.18
warby and parker sunglasses,HIGH,100,14800,0.05,2.11
usa glasses,HIGH,72,12100,2.03,6.66
cheap eyeglasses,HIGH,100,12100,1.77,6.00
designer eyeglasses,HIGH,100,12100,0.77,3.77
glasses on men,MEDIUM,52,12100,,
warby parker locations,LOW,13,9900,0.05,0.22
warby parker eye exam,LOW,24,9900,0.39,6.34
warby eye exam,LOW,24,9900,0.39,6.34
designer glasses women,HIGH,100,9900,0.56,2.46
womens designer eyeglasses,HIGH,100,9900,0.56,2.46
warby and parker locations,LOW,13,9900,0.05,0.22
designer eyewear for women,HIGH,100,9900,0.56,2.46
designer glasses for ladies,HIGH,100,9900,0.56,2.46
glass frames,HIGH,100,8100,0.70,2.93
pair glasses,HIGH,100,8100,0.45,3.08
pair eyeglasses,HIGH,100,8100,0.45,3.08
eye glasses exam,LOW,21,8100,2.19,10.35
glasses and exam,LOW,21,8100,2.19,10.35
glasses with eye exam,LOW,21,8100,2.19,10.35
fashionable eyewear,HIGH,100,8100,1.32,32.59
eye exam and eyeglasses,LOW,21,8100,2.19,10.35
eyeglass exam and glasses,LOW,21,8100,2.19,10.35
eyeglasses eye exam,LOW,21,8100,2.19,10.35
glasses pair,HIGH,100,8100,0.45,3.08
eye check up and glasses,LOW,21,8100,2.19,10.35
pair of eyeglasses,HIGH,100,8100,0.45,3.08
american glasses,HIGH,78,6600,2.34,9.78
designer frames,HIGH,100,6600,0.75,2.75
warby parker contact,HIGH,100,6600,2.52,8.49
try glasses frames online,HIGH,100,6600,0.80,3.39
affordable glasses,HIGH,100,5400,2.21,7.00
cheap eye glasses,HIGH,100,5400,2.04,6.50
affordable eyeglasses,HIGH,100,5400,2.04,6.50
fashion glasses,HIGH,100,5400,0.89,3.10
women eyeglasses,HIGH,100,5400,0.94,3.56
best eye glasses for men,HIGH,100,5400,0.90,3.40
best men's eyeglasses,HIGH,100,5400,0.90,3.40
best prescription eyeglasses,HIGH,87,5400,1.43,7.67
sun glasses for over glasses,HIGH,100,5400,0.47,1.54
best men glasses,HIGH,100,5400,0.90,3.40
the look glasses,LOW,5,5400,0.53,4.79
styling glasses,HIGH,100,5400,0.89,3.10
womens designer eyeglass frames,HIGH,100,5400,0.48,2.00
top glasses for men,HIGH,100,5400,0.90,3.40
best eyewear for men,HIGH,100,5400,0.90,3.40
top men glasses,HIGH,100,5400,0.90,3.40
glasses try on at home,HIGH,100,4400,2.06,8.23
glasses try on,HIGH,100,4400,0.67,2.99
warby parker return policy,LOW,1,4400,0.72,10.72
eyeglasses try on at home,HIGH,100,4400,2.06,8.23
trendy eyeglasses,HIGH,100,4400,0.69,3.28
eyeglasses try on,HIGH,100,4400,0.67,2.99
kids prescription glasses,HIGH,100,4400,1.76,7.14
stylish glasses for women,HIGH,100,4400,0.56,2.17
us eyeglasses,HIGH,100,4400,2.26,8.46
eyewear try on,HIGH,100,4400,0.67,2.99
their glasses,LOW,10,4400,0.97,6.32
those glasses,LOW,10,4400,0.97,6.32
stylish eyewear for women,HIGH,100,4400,0.56,2.17
styles of womens glasses,HIGH,100,4400,0.56,2.17
warby parker eyeglasses,HIGH,100,3600,0.07,2.50
new glasses,HIGH,100,3600,1.74,6.00
buy glasses,HIGH,100,3600,2.87,8.49
trendy glasses for women,HIGH,100,3600,0.65,2.65
warby parker stores,MEDIUM,66,3600,0.05,1.29
warby parker customer service,LOW,1,3600,0.15,3.16
warby parker hours,LOW,2,3600,0.05,0.20
fashionable womens glasses,HIGH,100,3600,0.61,2.48
shop warby parker,MEDIUM,66,3600,0.05,1.29
prescription sunglasses best,HIGH,100,3600,1.70,8.26
glasses work,LOW,15,3600,2.16,10.92
hours warby parker,LOW,2,3600,0.05,0.20
fashionable women's eyeglasses,HIGH,100,3600,0.61,2.48
sunglasses cheap mens,HIGH,100,3600,0.78,3.50
women style glasses,HIGH,100,3600,0.61,2.48
trendy eyewear for women,HIGH,100,3600,0.65,2.65
eyeglasses styles for women,HIGH,100,3600,0.61,2.48
best glasses,HIGH,100,2900,2.16,7.06
vision glasses,HIGH,100,2900,1.54,5.49
glasses now,HIGH,88,2900,1.68,7.00
all glasses,LOW,14,2900,2.18,14.88
contact sunglasses,HIGH,80,2900,1.05,8.99
vision eyeglasses,HIGH,100,2900,1.54,5.49
designer eyewear for men,HIGH,100,2900,0.55,2.42
best for glasses,HIGH,100,2900,2.16,7.06
vision & glasses,HIGH,100,2900,1.54,5.49
glasses on style,HIGH,97,2900,0.58,1.81
men's glasses designer,HIGH,100,2900,0.55,2.42
glasses designer men,HIGH,100,2900,0.55,2.42
trendy glasses,HIGH,100,2400,1.23,4.24
designer eyewear,HIGH,100,2400,0.84,3.80
cheap designer eyeglasses,HIGH,99,2400,0.80,3.56
trendy glasses for men,HIGH,100,2400,0.71,2.80
affordable designer glasses,HIGH,99,2400,0.80,3.56
trendy eyeglasses for men,HIGH,100,2400,0.71,2.80
affordable designer eyeglasses,HIGH,99,2400,0.80,3.56
best eyeglasses deal,HIGH,98,2400,1.84,7.88
cheap designer eyeglass frames,HIGH,99,2400,0.80,3.56
designer discount eyeglasses,HIGH,99,2400,0.80,3.56
eye glasses for asians,HIGH,100,2400,1.24,4.83
reviews of warby parker,LOW,17,2400,0.12,9.00
reviews on warby parker,LOW,17,2400,0.12,9.00
cheap designer spectacles,HIGH,99,2400,0.80,3.56
glasses with style,HIGH,100,2400,0.63,2.40
affordable designer eyewear,HIGH,99,2400,0.80,3.56
glasses top,HIGH,100,2400,0.56,4.06
mens glasses trendy,HIGH,100,2400,0.71,2.80
warby parker login,LOW,14,1900,0.14,0.53
quick glasses,MEDIUM,44,1900,4.04,11.46
unique glasses,HIGH,100,1900,0.51,2.80
cheap glasses and eye exam,MEDIUM,46,1900,1.71,9.02
eyeglasses quick,MEDIUM,44,1900,4.04,11.46
discount designer eyeglass frames,MEDIUM,60,1900,1.10,4.78
warby parker returns,LOW,0,1900,,
cheap glasses with eye exam,MEDIUM,46,1900,1.71,9.02
cheap fashionable glasses,HIGH,100,1900,1.08,4.33
eye glasses promotions,HIGH,100,1900,2.24,8.52
mens sunglasses for oval face,HIGH,100,1900,0.74,3.00
popular glasses styles for men,HIGH,100,1900,0.45,1.76
rimless frames for glasses,HIGH,100,1900,1.02,4.85
warby glasses,HIGH,100,1600,0.06,2.50
parker glasses,HIGH,100,1600,0.07,4.27
parker eyeglasses,HIGH,100,1600,0.07,4.27
kids eye glasses,HIGH,100,1600,2.45,7.70
best eyeglasses,HIGH,100,1600,1.70,7.07
designer eye glasses,HIGH,100,1600,1.00,4.15
fashionable eyeglasses,HIGH,100,1600,0.86,3.24
glasses for work,HIGH,100,1600,0.82,2.88
work eyeglasses,HIGH,100,1600,0.82,2.88
best glasses shop,HIGH,100,1600,1.20,5.46
warby parker guarantee,LOW,0,1600,,
warby parker cost of eye exam,LOW,18,1600,0.20,5.71
our glasses,LOW,15,1600,,
work eyewear,HIGH,100,1600,0.82,2.88
best eyeglasses stores,HIGH,100,1600,1.20,5.46
best shop for eyeglasses,HIGH,100,1600,1.20,5.46
glasses tips,LOW,8,1600,0.39,1.56
cool mens eyewear,HIGH,100,1600,0.64,2.17
stylish glasses,HIGH,100,1300,0.83,2.98
the glasses shop,MEDIUM,47,1300,2.14,281.73
sunglasses for glasses,HIGH,100,1300,0.51,4.00
glasses and sunglasses,HIGH,100,1300,0.51,4.00
warby parker glasses for men,HIGH,100,1300,0.05,1.57
warby parker phone number,LOW,3,1300,0.06,0.40
contact eyeglasses,HIGH,83,1300,2.72,9.79
phone number for warby parker,LOW,3,1300,0.06,0.40
warby parker logo,LOW,0,1300,,
eyeglasses latest styles,HIGH,100,1300,0.50,1.56
glasses and contact,HIGH,83,1300,2.72,9.79
sunglasses to glasses,HIGH,100,1300,0.51,4.00
sunglasses as glasses,HIGH,100,1300,0.51,4.00
glasses for sunglasses,HIGH,100,1300,0.51,4.00
sunglasses on eyeglasses,HIGH,100,1300,0.51,4.00
sunglasses as eyeglasses,HIGH,100,1300,0.51,4.00
sunglasses to eyeglasses,HIGH,100,1300,0.51,4.00
latest styles of eyeglasses,HIGH,100,1300,0.50,1.56
latest fashionable glasses,HIGH,100,1300,0.50,1.56
glasses contact,HIGH,83,1300,2.72,9.79
warby parker sunglasses women,HIGH,100,1000,0.05,1.56
best eye glasses,HIGH,100,1000,1.61,7.20
warby parker sunglasses men,HIGH,100,1000,0.05,2.00
stylish eyeglasses,HIGH,100,1000,0.67,3.10
stylish eye glasses,HIGH,100,1000,0.67,3.10
premium eyewear,HIGH,100,1000,2.06,5.00
cheap eyeglasses for men,HIGH,100,1000,1.60,5.10
best eyeglasses websites,HIGH,100,1000,1.80,9.08
affordable mens glasses,HIGH,100,1000,1.60,5.10
shop prescription eyeglasses,HIGH,100,1000,1.46,6.48
eye glasses stylish,HIGH,100,1000,0.67,3.10
sunglasses for style,HIGH,100,1000,0.47,2.35
warby parker try on,HIGH,84,880,0.07,2.24
warby parker discount,HIGH,85,880,0.22,7.66
unique eyeglasses,HIGH,100,880,0.78,3.06
cheap stylish glasses,HIGH,100,880,1.12,3.45
look eyewear,HIGH,92,880,0.96,6.34
shop glasses frames online,HIGH,100,880,0.75,3.48
cheap stylish eyeglasses,HIGH,100,880,1.12,3.45
contact and glasses,HIGH,97,880,2.52,8.40
cool womens glasses,HIGH,100,880,0.75,2.75
sunglasses quality,HIGH,100,880,0.92,3.67
best eye glasses place,HIGH,100,880,1.41,6.40
best looking men's glasses,HIGH,100,880,0.64,2.05
warby try on,HIGH,84,880,0.07,2.24
best place to purchase sunglasses,HIGH,100,880,0.79,3.60
womens warby parker glasses,HIGH,100,880,0.05,1.86
cool eyeglasses for women,HIGH,100,880,0.75,2.75
best looking men's eyeglasses,HIGH,100,880,0.64,2.05
eye glasses for blondes,HIGH,100,880,0.64,3.53
stylish frame for glasses,HIGH,100,880,1.31,5.66
best looking glasses men,HIGH,100,880,0.64,2.05
best looking men glasses,HIGH,100,880,0.64,2.05
glasses sunglasses,HIGH,100,720,1.45,4.88
sunglasses try on,HIGH,100,720,0.64,2.71
warby parker home try on,HIGH,77,720,0.11,2.14
glasses style,HIGH,100,720,0.69,2.80
look glasses,HIGH,100,720,0.80,7.50
womens eyewear,HIGH,100,720,0.82,3.18
looking for eyeglasses,HIGH,100,720,0.80,7.50
look eyeglasses,HIGH,100,720,0.80,7.50
warby parker pricing,HIGH,91,720,0.05,2.23
eye eyeglasses,HIGH,100,720,2.16,6.50
warby parker insurance accepted,LOW,15,720,0.06,0.32
glasses look,HIGH,100,720,0.80,7.50
warby parker try on home,HIGH,77,720,0.11,2.14
collection of sunglasses,HIGH,100,720,1.70,3.88
sunglasses collector,HIGH,100,720,1.70,3.88
look at glasses,HIGH,100,720,0.80,7.50
glasses for look,HIGH,100,720,0.80,7.50
look for glasses,HIGH,100,720,0.80,7.50
affordable eyewear,HIGH,100,590,1.54,5.34
glasses exam,MEDIUM,36,590,2.69,11.93
best affordable glasses,HIGH,100,590,1.62,6.69
eyeglasses and exam,MEDIUM,36,590,2.69,11.93
best designer eyeglasses,HIGH,100,590,0.72,3.23
parker warby glasses near me,HIGH,93,590,0.12,3.45
warby parker womens glasses,HIGH,100,590,0.04,1.57
eye and contact exam,MEDIUM,56,590,3.10,9.20
glasses vision,HIGH,89,590,1.70,6.33
men's warby parker eyeglasses,HIGH,100,590,0.05,1.71
designer prescription glasses cheap,HIGH,100,590,1.16,4.95
warby parker men's eyeglasses,HIGH,100,590,0.05,1.71
sun glasses over regular glasses,HIGH,100,590,0.47,1.40
newest style eyeglasses,HIGH,100,590,0.48,1.40
svc glasses,LOW,11,590,2.77,19.40
vision eye wear,HIGH,89,590,1.70,6.33
warby parker eyeglasses for men,HIGH,100,590,0.05,1.71
mens warby parker glasses,HIGH,100,590,0.05,1.71
mens glasses warby parker,HIGH,100,590,0.05,1.71
warby parker application,LOW,19,590,0.06,2.41
warby parker how does it work,LOW,4,590,0.05,2.05
popular mens eyeglasses,HIGH,100,590,0.50,2.29
best designer eyewear,HIGH,100,590,0.72,3.23
top men's glasses styles,HIGH,100,590,0.92,3.14
nice eyeglasses for men,HIGH,100,590,0.92,3.14
eyewear sunglasses,HIGH,100,480,1.66,4.20
warby parker deals,HIGH,100,480,0.14,4.61
parker warby near me,MEDIUM,58,480,0.07,2.50
spectacle frames,HIGH,100,480,0.70,2.80
men eye glasses,HIGH,100,480,0.87,3.23
stylish eyeglasses for men,HIGH,100,480,0.74,2.28
warby parker glasses near me,HIGH,95,480,0.08,2.33
trendy eyewear,HIGH,100,480,0.97,3.24
unique eyewear,HIGH,99,480,0.98,3.29
best reading sunglasses,HIGH,100,480,1.26,4.87
premium glasses,HIGH,87,480,1.26,5.00
best eye glasses for women,HIGH,100,480,0.75,4.08
cheap glasses and eye exam near me,MEDIUM,36,480,1.82,8.71
best warby parker sunglasses,HIGH,98,480,,
designing sunglasses,HIGH,100,480,0.76,3.56
best women glasses,HIGH,100,480,0.75,4.08
reviews on warby parker glasses,MEDIUM,52,480,0.22,8.60
new styles of sunglasses,HIGH,100,480,0.54,2.51
collection of glasses,HIGH,93,480,0.56,2.99
eye glass shoppe,HIGH,69,480,1.95,6.31
men eyesight glasses,HIGH,100,480,0.87,3.23
best eyewear for women,HIGH,100,480,0.75,4.08
fashionable eyewear for men,HIGH,100,480,0.63,2.42
stylish men's eyeglasses,HIGH,100,480,0.63,2.42
warby parker eyewear,HIGH,100,390,0.07,2.50
warby eyeglasses,HIGH,100,390,0.09,2.89
affordable eye glasses,HIGH,100,390,2.59,7.20
trendy eyeglasses for women,HIGH,100,390,0.64,2.81
best over glasses sunglasses,HIGH,100,390,0.46,1.64
eye sunglasses,HIGH,100,390,1.44,3.75
fashionable eye glasses,HIGH,100,390,0.91,4.06
popular eye glasses for women,HIGH,100,390,0.38,1.51
womens over glasses sunglasses,HIGH,100,390,0.44,1.28
men's glasses sunglasses,HIGH,90,390,0.74,3.17
over glasses sunglasses women,HIGH,100,390,0.44,1.28
today eyewear,MEDIUM,64,390,1.13,4.21
warby parker try on glasses,HIGH,93,320,0.05,1.99
best eyewear,HIGH,100,320,1.65,7.00
eye glasses men,HIGH,100,320,1.05,3.90
pair eyewear glasses,HIGH,99,320,0.47,2.96
warby parker men's,HIGH,100,320,0.05,2.20
top glasses,HIGH,100,320,1.53,6.22
glasses search,MEDIUM,37,320,1.18,5.44
women's sunglasses styles,HIGH,100,320,0.45,3.17
popular eyeglasses styles,HIGH,100,320,0.52,1.73
best glasses styles for men,HIGH,100,320,0.68,3.20
glasses product,MEDIUM,38,320,0.56,5.40
eyeglasses glasses,HIGH,88,320,1.56,8.34
eyewear best,HIGH,100,320,1.65,7.00
sunglasses that cover eyeglasses,HIGH,100,320,0.43,1.26
glasses for glasses,HIGH,88,320,1.56,8.34
glasses shopping,HIGH,100,260,2.25,9.91
companies like warby parker,HIGH,100,260,1.52,5.39
eye glass exam,MEDIUM,52,260,3.29,11.65
glasses at home,HIGH,100,260,0.20,8.31
trendy eye glasses,HIGH,100,260,1.06,3.64
quality eyeglasses,HIGH,100,260,1.25,7.00
quality glasses,HIGH,100,260,1.25,7.00
best deal for eye exam and glasses,HIGH,80,260,1.51,9.16
like warby parker,HIGH,100,260,1.52,5.39
eye test and glasses deals,MEDIUM,58,260,1.79,9.15
warby parker similar,HIGH,100,260,1.52,5.39
best warby parker glasses,HIGH,100,260,0.12,2.58
best price for eye exam and glasses,HIGH,80,260,1.51,9.16
eyeglasses at home,HIGH,100,260,0.20,8.31
cheap glasses exam,MEDIUM,46,260,2.45,10.52
warby parker how long to get glasses,LOW,2,260,,
shopping for eyeglasses,HIGH,100,260,2.25,9.91
most popular warby parker women's glasses,HIGH,100,260,,
warby parker address,LOW,2,260,0.07,0.39
warby parker order tracking,LOW,0,260,,
warby parker best glasses,HIGH,100,260,0.12,2.58
warby parker site,HIGH,82,260,0.10,2.33
warby parker exchange policy,LOW,0,260,,
unique eyeglasses for women,HIGH,100,260,0.52,1.86
men's over glasses sunglasses,HIGH,100,260,0.47,1.41
sunglasses over glasses for men,HIGH,100,260,0.47,1.41
sun glasses for people with glasses,HIGH,100,260,0.51,2.02
sunglasses pair,HIGH,88,260,0.68,7.00
glasses today,HIGH,90,210,3.50,9.80
glasses like warby parker,HIGH,100,210,1.35,6.32
warby sunglasses,HIGH,100,210,0.05,2.50
eyewear shop,MEDIUM,66,210,2.00,6.27
these glasses,HIGH,100,210,0.83,3.19
in style sunglasses,HIGH,100,210,0.44,1.47
sunglasses for work,HIGH,100,210,0.56,2.45
vision sunglasses,HIGH,100,210,0.95,2.97
glasses are us,HIGH,99,210,1.66,7.00
warby parker exam,LOW,30,210,0.33,5.09
best affordable eyeglasses,HIGH,100,210,1.87,7.19
best quality glasses,HIGH,100,210,1.40,6.59
least expensive glasses,HIGH,100,210,1.58,8.80
glasses companies like warby parker,HIGH,100,210,1.35,6.32
warby parker help,LOW,2,210,,
glasses shipped,HIGH,76,210,2.93,7.50
warby parker shipping,LOW,30,210,0.19,5.79
warby parker phone,LOW,4,210,0.05,0.21
womens cheap glasses,HIGH,99,210,1.10,4.58
eye glasses like warby parker,HIGH,100,210,1.35,6.32
for eye glasses,HIGH,100,210,1.04,5.00
eyeglasses similar to warby parker,HIGH,100,210,1.35,6.32
warby parker account,LOW,13,210,0.12,0.34
latest designer eyeglass frames,HIGH,100,210,0.47,1.31
warby parker near,MEDIUM,47,210,0.05,2.20
your glasses,MEDIUM,51,210,1.13,5.16
best place to buy inexpensive glasses,HIGH,100,210,2.19,9.80
warby parker quality,MEDIUM,64,210,,
eyewa shop,MEDIUM,66,210,2.00,6.27
shop designer glasses,HIGH,100,210,0.71,2.87
designer glasses shop,HIGH,100,210,0.71,2.87
shop designer eyeglasses,HIGH,100,210,0.71,2.87
mens latest eyeglasses styles,HIGH,100,210,0.29,1.66
sunglasses with vision,HIGH,100,210,0.95,2.97
best quality eyewear,HIGH,100,210,1.40,6.59
stylish eyewear for men,HIGH,100,210,0.64,1.90
best low cost glasses,HIGH,100,210,1.87,7.19
sunglasses try on at home,HIGH,96,170,1.14,4.76
unique eye glasses,HIGH,100,170,0.79,2.91
premium eyeglasses,HIGH,92,170,1.31,4.81
warby parker eyeglasses near me,HIGH,100,170,0.09,2.03
parker sunglasses,HIGH,99,170,0.05,3.76
warby glasses near me,HIGH,100,170,0.11,1.99
eyewear for men,HIGH,100,170,0.79,2.73
style sunglasses,HIGH,100,170,0.49,2.36
sunglasses over eyeglasses,HIGH,100,170,0.41,1.12
stylish eyewear,HIGH,100,170,0.79,3.67
eyeglasses promotions,MEDIUM,49,170,1.54,6.17
best place to get glasses and eye exam,MEDIUM,47,170,1.94,9.27
sunglasses offer,HIGH,100,170,0.71,4.74
warby parker contact number,LOW,4,170,,
over your glasses sunglasses,HIGH,100,170,0.38,1.23
pair sunglasses,HIGH,100,170,0.15,3.60
glasses center,MEDIUM,35,170,1.74,6.05
best glasses style,HIGH,100,170,0.67,3.00
warby parker com glasses,HIGH,99,170,0.10,2.32
top rated eye glasses,HIGH,99,170,1.52,8.36
warby parker number,LOW,6,170,0.13,4.21
cool eyeglasses for men,HIGH,100,170,0.87,2.93
warby parker owner,LOW,0,170,,
mens warby parker sunglasses,HIGH,100,170,0.05,1.70
faq warby parker,LOW,1,170,,
warby parker cancel order,LOW,0,170,,
cancel warby parker order,LOW,0,170,,
eyeglasses that look like sunglasses,HIGH,100,170,0.62,2.85
glasses collection,HIGH,100,170,2.21,6.15
in style men's glasses,HIGH,100,170,0.20,2.59
best style eyeglasses,HIGH,100,170,0.67,3.00
best glasses for style,HIGH,100,170,0.67,3.00
glasses on glasses,HIGH,69,170,1.69,5.51
best designer eyeglasses for men,HIGH,100,170,0.77,2.95
in style glasses men,HIGH,100,170,0.20,2.59
links glasses,HIGH,82,170,1.12,3.65
eye glasses with holes,HIGH,99,170,0.22,0.51
eyeglasses work,HIGH,80,170,1.90,7.80
sites like warby parker,HIGH,100,140,1.43,5.48
eyeglasses with sunglasses,HIGH,100,140,0.72,3.19
find glasses,HIGH,100,140,1.45,6.00
warby parker order,HIGH,69,140,0.17,3.95
the best glasses,HIGH,100,140,1.16,4.75
glasses offer,MEDIUM,60,140,1.70,6.71
glasses to sunglasses,HIGH,100,140,1.17,5.31
places like warby parker,HIGH,100,140,1.43,5.48
pair eye glasses,HIGH,100,140,0.25,3.17
warby parker men,HIGH,100,140,0.05,1.38
contact and eyeglasses exam,MEDIUM,50,140,2.79,11.16
warby parker glasses for women,HIGH,100,140,0.05,1.84
cheapest place to get glasses and eye exam,MEDIUM,47,140,1.56,7.52
best place to get affordable glasses,HIGH,100,140,1.96,9.10
warby parker women's eyeglasses,HIGH,100,140,0.05,1.84
warby parker women,HIGH,100,140,0.06,1.30
find eyeglasses,HIGH,100,140,1.45,6.00
sunglasses shopping,HIGH,100,140,1.80,4.96
pair eyewear sunglasses,HIGH,100,140,0.12,3.00
best place to get inexpensive glasses,HIGH,100,140,1.96,9.10
eyeglasses to sunglasses,HIGH,100,140,1.17,5.31
eyewear collection,HIGH,100,140,1.00,2.98
warby parker customer service number,LOW,0,140,,
warby parker phone number for claims,LOW,0,140,,
popular styles of sunglasses,HIGH,100,140,0.50,2.08
best eyeglass center near me,MEDIUM,47,140,2.50,8.15
optical glasses shop,HIGH,72,140,1.37,6.49
best fashionable glasses,HIGH,100,140,1.47,3.86
sunglasses eye,HIGH,94,140,1.24,11.26
eye eye sunglasses,HIGH,94,140,1.24,11.26
sunglasses with eyeglasses,HIGH,100,140,1.17,5.31
glasses on top of glasses,LOW,18,140,,
the best eyewear,HIGH,100,140,1.16,4.75
eye glasses for,HIGH,90,140,1.64,4.58
collection eyewear,HIGH,100,140,1.00,2.98
best quality eyeglasses,HIGH,100,110,0.82,5.70
best eye exam deals,MEDIUM,59,110,1.75,8.14
shop prescription sunglasses,HIGH,100,110,2.29,7.51
look sunglasses,HIGH,100,110,0.60,2.89
vision work eyeglasses,HIGH,100,110,0.97,3.16
eyeglasses contacts,HIGH,97,110,1.99,7.08
looking for sunglasses,HIGH,100,110,0.60,2.89
warby parker glasses stores,HIGH,80,110,0.04,1.54
warby parker glasses locations,HIGH,80,110,0.04,1.54
warby parker eyeglasses locations,HIGH,80,110,0.04,1.54
warby parker customer support,LOW,2,110,,
designer glasses sunglasses,HIGH,100,110,0.41,2.60
returning warby parker glasses,LOW,9,110,,
warby parker how long does it take,LOW,0,110,,
top designer eyeglass frames,HIGH,100,110,0.57,2.14
designer glasses for men cheap,HIGH,100,110,0.62,2.64
those sunglasses,HIGH,99,110,0.97,4.69
vision glasses for men,HIGH,100,110,1.01,3.00
best eye sunglasses,HIGH,100,110,0.23,1.98
designer sunglasses glasses,HIGH,100,110,0.41,2.60
on eye glasses,HIGH,83,110,1.75,5.98
eye with glasses,LOW,0,110,,
top eyewear designers,HIGH,100,110,0.57,2.14
sunglasses that fit over your eyeglasses,HIGH,100,110,0.46,1.07
latest eye glasses for women,HIGH,100,110,0.58,1.26
glasses help,MEDIUM,38,110,1.64,5.64
glasses affordable,HIGH,100,90,2.42,9.62
